"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Text Editing","Backward Paragraph","Alt+{","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Universal Argument","Alt+3","Editing Text"
"Text Editing","Delete Rectangle","Ctrl+X R D","Editing Text"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Text Editing","Forward Word","Alt+F","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Text Editing","Pop Tag Mark","Alt+*","Editing Text"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Text Editing","Scroll Down","Esc Shift+V","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+5","Editing Text"
"Text Editing","Yank Rectangle","Ctrl+X R Y","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Browse Kill Ring","Alt+Y","Editing Text"
"Text Editing","Deactivate Window","Ctrl+X 0","In Windows"
"Text Editing","Begin Buffer","Ctrl+Home","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Universal Argument","Ctrl+3","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+7","Editing Text"
"Text Editing","Insert Register","Ctrl+X G","Editing Text"
"Text Editing","Universal Argument","Alt+5","Editing Text"
"Text Editing","Kbd Macro End or Call","F4","Editing Text"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"File","New (Enum)","Ctrl+C P E","In Windows"
"Text Editing","Text Start","Alt+<","Editing Text"
"Text Editing","Backward Paragraph","Shift+Ctrl+Up","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Alt+H","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Point to Register","Ctrl+X R Space","Editing Text"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Edit","Backward Kill Sexp","Ctrl+Alt+Backspace","Editing Text"
"Edit","Undo","Ctrl+/","In Windows"
"Text Editing","Comment Next","Alt+N","Editing Java Source"
"Text Editing","Copy to Register","Ctrl+X R S","Editing Text"
"Refactor - Java","Extract Constant","Ctrl+C P X X","In Windows"
"Text Editing","Previous Line","Ctrl+P","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Zap to Char","Esc Z","In Windows"
"Edit","Undo","Ctrl+X U","In Windows"
"Text Editing","Describe Key Briefly","Ctrl+Z C","Editing Text"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Text Editing","Jump to Register","Ctrl+X R J","Editing Text"
"Text Editing","Transpose Characters","Ctrl+T","Editing Text"
"Text Editing","Pop Tag Mark","Shift+Alt+8","Editing Text"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Clear Rectangle","Ctrl+X R C","Editing Text"
"Text Editing","Forward Word","Shift+Alt+F","Editing Text"
"File","New (Folder)","Ctrl+C P D","In Windows"
"Text Editing","Universal Argument","Ctrl+8","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"gazonk.del","Copy","Alt+W","In Console View"
"Text Editing","Delete Indentation","Alt+^","Editing Text"
"Text Editing","Backward Character","Left","Editing Text"
"File","New (Annotation)","Ctrl+C P A","In Windows"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Text Editing","Next Word","Esc F","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Where Is Command","Ctrl+Z W","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Text Editing","Universal Argument","Ctrl+4","Editing Text"
"File","New (Package)","Ctrl+C P G","In Windows"
"Text Editing","End Buffer","Ctrl+End","Editing Text"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"File","Save All","Ctrl+X S","In Windows"
"Refactor - Java","Change Method Signature","Ctrl+C P M","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Text Editing","Backward Character","Ctrl+B","Editing Text"
"Text Editing","Undo+","Shift+Ctrl+-","Editing Text"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Text Editing","Uppercase","Alt+U","Editing Text"
